id,Name,Subtitle,Definition,paperlink,videolink,category
fae,Fundamental Attribution Error,Environment >> Personality,A tendency for people to under-emphasize situational and environmental explanations for an individual's observed behavior while over-emphasizing dispositional and personality-based explanations.,https://web.archive.org/web/20051211090441/http://www.wjh.harvard.edu/~dtg/Gilbert%20%26%20Malone%20%28CORRESPONDENCE%20BIAS%29.pdf,https://www.youtube.com/watch?v=HR_q96-YRzk,Social
anch,Anchoring Bias,Our choices aren't really ours,"a cognitive bias whereby an individual's decisions are influenced by a particular reference point or 'anchor'.[1] Once the value of the anchor is set, subsequent arguments, estimates, etc. made by an individual may change from what they would have otherwise been without the anchor.",https://www.cfo.com/human-capital-careers/2004/06/avoiding-decision-traps/,https://www.youtube.com/watch?v=NFiDdbquWJY,General
conf,Confirmation Bias,"We dont care what is actually true, we care about making our own truths","tendency to search for, interpret, favor, and recall information in a way that confirms or supports one's prior beliefs or values.",https://www.newstatesman.com/science-tech/2016/11/forget-fake-news-facebook-real-filter-bubble-you,https://www.youtube.com/watch?v=prx9bxzns3g,General
avail,Availability Heuristic,"What comes to our mind first, wins","a mental shortcut that relies on immediate examples that come to a given person's mind when evaluating a specific topic, concept, method or decision.",https://www.businessinsider.com/the-availability-bias-is-driving-investor-decisions-2012-10?IR=T,https://www.youtube.com/watch?v=3RiLUzwwngM,Belief Formation
ego,Egocentric Bias,It's all about me!,the tendency to rely too heavily on one's own perspective and/or have a higher opinion of oneself than reality.[1] It appears to be the result of the psychological need to satisfy one's ego and to be advantageous for memory consolidation.,https://www.nytimes.com/1984/06/12/science/a-bias-puts-self-at-center-of-everything.html,https://www.youtube.com/watch?v=O8_Cub80ebk,Belief Formation
cogdis,Cognitive Dissonance,Psychological discomfort makes us side with cherished beliefs,"According to this theory, when two actions or ideas are not psychologically consistent with each other, people do all in their power to change them until they become consistent.[1][2] The discomfort is triggered by the person's belief clashing with new information perceived, wherein the individual tries to find a way to resolve the contradiction to reduce their discomfort.",https://web.archive.org/web/20181105182429/https://www.csicop.org/si/show/why_we_believe_long_after_we_shouldnt,https://www.youtube.com/watch?v=9Y17YaZRRvY,General
survive,Survivorship Bias,History is usually written by the winners,"logical error of concentrating on the people or things that made it past some selection process and overlooking those that did not, typically because of their lack of visibility.",https://www.theatlantic.com/business/archive/2013/03/the-myth-of-the-successful-college-dropout-why-it-could-make-millions-of-young-americans-poorer/273628/,https://www.youtube.com/watch?v=P9WFpVsRtQg,Belief Formation
freq,Frequency Illusion,"Once we discover them, we see our personal discoveries everywhere","a cognitive bias in which, after noticing something for the first time, there is a tendency to notice it more often, leading someone to believe that it has a high frequency of occurrence",https://www.damninteresting.com/the-baader-meinhof-phenomenon/,https://www.youtube.com/watch?v=p6hnC6QLvfo,General
fbal,False Balance,Media is often tries to strike a balance between opposing views irrespective of evidence,"False balance, also bothsidesism, is a media bias in which journalists present an issue as being more balanced between opposing viewpoints than the evidence supports. Journalists may present evidence and arguments out of proportion to the actual evidence for each side, or may omit information that would establish one side's claims as baseless. False balance has been cited as a cause of misinformation.",https://web.archive.org/web/20210210220542/https://www.nytimes.com/2006/01/30/opinion/a-false-balance.html,https://www.youtube.com/watch?v=cjuGCJJUGsg,General
plan,Planning Fallacy,We overestimate our ability to finish our plans (by a lot!),The planning fallacy is a phenomenon in which predictions about how much time will be needed to complete a future task display an optimism bias and underestimate the time needed.,https://hbr.org/2003/07/delusions-of-success-how-optimism-undermines-executives-decisions,https://www.youtube.com/watch?v=GgyX-MnRAuY,General
